codice_gestione,codice_voce,macro_categoria_v2
EPF,0.00.00.99.995,Entrate extratributarie
MON,0.00.00.99.995,Entrate extratributarie
PRO,0.00.00.99.995,Entrate extratributarie
REG,0.00.00.99.995,Entrate extratributarie
SP1,0.00.00.99.995,Entrate extratributarie
SP3,0.00.00.99.995,Entrate extratributarie
SP8,0.00.00.99.995,Entrate extratributarie
EPF,0.00.00.99.996,Entrate extratributarie
MON,0.00.00.99.996,Entrate extratributarie
PRO,0.00.00.99.996,Entrate extratributarie
REG,0.00.00.99.996,Entrate extratributarie
SP1,0.00.00.99.996,Entrate extratributarie
SP3,0.00.00.99.996,Entrate extratributarie
SP8,0.00.00.99.996,Entrate extratributarie
AAI,0.00.00.99.998,Entrate extratributarie
ASP,0.00.00.99.998,Entrate extratributarie
EPF,0.00.00.99.998,Entrate extratributarie
FLS,0.00.00.99.998,Entrate extratributarie
MON,0.00.00.99.998,Entrate extratributarie
PRO,0.00.00.99.998,Entrate extratributarie
REG,0.00.00.99.998,Entrate extratributarie
RIC,0.00.00.99.998,Entrate extratributarie
SP1,0.00.00.99.998,Entrate extratributarie
SP3,0.00.00.99.998,Entrate extratributarie
SP4,0.00.00.99.998,Entrate extratributarie
SP7,0.00.00.99.998,Entrate extratributarie
SP8,0.00.00.99.998,Entrate extratributarie
UNI,0.00.00.99.998,Entrate extratributarie
VCE,0.00.00.99.998,Entrate extratributarie
VCF,0.00.00.99.998,Entrate extratributarie
AAI,0.00.00.99.999,Entrate extratributarie
ASP,0.00.00.99.999,Entrate extratributarie
EPF,0.00.00.99.999,Entrate extratributarie
FLS,0.00.00.99.999,Entrate extratributarie
MON,0.00.00.99.999,Entrate extratributarie
PRO,0.00.00.99.999,Entrate extratributarie
REG,0.00.00.99.999,Entrate extratributarie
RIC,0.00.00.99.999,Entrate extratributarie
SP1,0.00.00.99.999,Entrate extratributarie
SP3,0.00.00.99.999,Entrate extratributarie
SP4,0.00.00.99.999,Entrate extratributarie
SP7,0.00.00.99.999,Entrate extratributarie
SP8,0.00.00.99.999,Entrate extratributarie
UNI,0.00.00.99.999,Entrate extratributarie
VCE,0.00.00.99.999,Entrate extratributarie
VCF,0.00.00.99.999,Entrate extratributarie
EPF,1.01.01.06.001,Imposte proprie
MON,1.01.01.06.001,Imposte proprie
PRO,1.01.01.06.001,Imposte proprie
REG,1.01.01.06.001,Imposte proprie
SP1,1.01.01.06.001,Imposte proprie
SP3,1.01.01.06.001,Imposte proprie
SP8,1.01.01.06.001,Imposte proprie
EPF,1.01.01.06.002,Imposte proprie
MON,1.01.01.06.002,Imposte proprie
PRO,1.01.01.06.002,Imposte proprie
REG,1.01.01.06.002,Imposte proprie
SP1,1.01.01.06.002,Imposte proprie
SP3,1.01.01.06.002,Imposte proprie
SP8,1.01.01.06.002,Imposte proprie
EPF,1.01.01.08.001,Imposte proprie
MON,1.01.01.08.001,Imposte proprie
PRO,1.01.01.08.001,Imposte proprie
REG,1.01.01.08.001,Imposte proprie
SP1,1.01.01.08.001,Imposte proprie
SP3,1.01.01.08.001,Imposte proprie
SP8,1.01.01.08.001,Imposte proprie
EPF,1.01.01.08.002,Imposte proprie
MON,1.01.01.08.002,Imposte proprie
PRO,1.01.01.08.002,Imposte proprie
REG,1.01.01.08.002,Imposte proprie
SP1,1.01.01.08.002,Imposte proprie
SP3,1.01.01.08.002,Imposte proprie
SP8,1.01.01.08.002,Imposte proprie
EPF,1.01.01.16.001,Imposte proprie
MON,1.01.01.16.001,Imposte proprie
PRO,1.01.01.16.001,Imposte proprie
REG,1.01.01.16.001,Imposte proprie
SP1,1.01.01.16.001,Imposte proprie
SP3,1.01.01.16.001,Imposte proprie
SP8,1.01.01.16.001,Imposte proprie
EPF,1.01.01.16.002,Imposte proprie
MON,1.01.01.16.002,Imposte proprie
PRO,1.01.01.16.002,Imposte proprie
REG,1.01.01.16.002,Imposte proprie
SP1,1.01.01.16.002,Imposte proprie
SP3,1.01.01.16.002,Imposte proprie
SP8,1.01.01.16.002,Imposte proprie
EPF,1.01.01.17.001,Imposte proprie
MON,1.01.01.17.001,Imposte proprie
PRO,1.01.01.17.001,Imposte proprie
REG,1.01.01.17.001,Imposte proprie
SP1,1.01.01.17.001,Imposte proprie
SP3,1.01.01.17.001,Imposte proprie
SP8,1.01.01.17.001,Imposte proprie
EPF,1.01.01.17.002,Imposte proprie
MON,1.01.01.17.002,Imposte proprie
PRO,1.01.01.17.002,Imposte proprie
REG,1.01.01.17.002,Imposte proprie
SP1,1.01.01.17.002,Imposte proprie
SP3,1.01.01.17.002,Imposte proprie
SP8,1.01.01.17.002,Imposte proprie
EPF,1.01.01.20.001,Imposte proprie
MON,1.01.01.20.001,Imposte proprie
PRO,1.01.01.20.001,Imposte proprie
REG,1.01.01.20.001,Imposte proprie
SP1,1.01.01.20.001,Imposte proprie
SP3,1.01.01.20.001,Imposte proprie
SP8,1.01.01.20.001,Imposte proprie
EPF,1.01.01.20.002,Imposte proprie
MON,1.01.01.20.002,Imposte proprie
PRO,1.01.01.20.002,Imposte proprie
REG,1.01.01.20.002,Imposte proprie
SP1,1.01.01.20.002,Imposte proprie
SP3,1.01.01.20.002,Imposte proprie
SP8,1.01.01.20.002,Imposte proprie
EPF,1.01.01.31.001,Imposte proprie
MON,1.01.01.31.001,Imposte proprie
PRO,1.01.01.31.001,Imposte proprie
REG,1.01.01.31.001,Imposte proprie
SP1,1.01.01.31.001,Imposte proprie
SP3,1.01.01.31.001,Imposte proprie
SP8,1.01.01.31.001,Imposte proprie
EPF,1.01.01.31.002,Imposte proprie
MON,1.01.01.31.002,Imposte proprie
PRO,1.01.01.31.002,Imposte proprie
REG,1.01.01.31.002,Imposte proprie
SP1,1.01.01.31.002,Imposte proprie
SP3,1.01.01.31.002,Imposte proprie
SP8,1.01.01.31.002,Imposte proprie
EPF,1.01.01.34.001,Imposte proprie
MON,1.01.01.34.001,Imposte proprie
PRO,1.01.01.34.001,Imposte proprie
REG,1.01.01.34.001,Imposte proprie
SP1,1.01.01.34.001,Imposte proprie
SP3,1.01.01.34.001,Imposte proprie
SP8,1.01.01.34.001,Imposte proprie
EPF,1.01.01.34.002,Imposte proprie
MON,1.01.01.34.002,Imposte proprie
PRO,1.01.01.34.002,Imposte proprie
REG,1.01.01.34.002,Imposte proprie
SP1,1.01.01.34.002,Imposte proprie
SP3,1.01.01.34.002,Imposte proprie
SP8,1.01.01.34.002,Imposte proprie
EPF,1.01.01.39.001,Imposte proprie
MON,1.01.01.39.001,Imposte proprie
PRO,1.01.01.39.001,Imposte proprie
REG,1.01.01.39.001,Imposte proprie
SP1,1.01.01.39.001,Imposte proprie
SP3,1.01.01.39.001,Imposte proprie
SP8,1.01.01.39.001,Imposte proprie
EPF,1.01.01.39.002,Imposte proprie
MON,1.01.01.39.002,Imposte proprie
PRO,1.01.01.39.002,Imposte proprie
REG,1.01.01.39.002,Imposte proprie
SP1,1.01.01.39.002,Imposte proprie
SP3,1.01.01.39.002,Imposte proprie
SP8,1.01.01.39.002,Imposte proprie
EPF,1.01.01.40.001,Imposte proprie
MON,1.01.01.40.001,Imposte proprie
PRO,1.01.01.40.001,Imposte proprie
REG,1.01.01.40.001,Imposte proprie
SP1,1.01.01.40.001,Imposte proprie
SP3,1.01.01.40.001,Imposte proprie
SP8,1.01.01.40.001,Imposte proprie
EPF,1.01.01.40.002,Imposte proprie
MON,1.01.01.40.002,Imposte proprie
PRO,1.01.01.40.002,Imposte proprie
REG,1.01.01.40.002,Imposte proprie
SP1,1.01.01.40.002,Imposte proprie
SP3,1.01.01.40.002,Imposte proprie
SP8,1.01.01.40.002,Imposte proprie
EPF,1.01.01.41.001,Imposte proprie
MON,1.01.01.41.001,Imposte proprie
PRO,1.01.01.41.001,Imposte proprie
REG,1.01.01.41.001,Imposte proprie
SP1,1.01.01.41.001,Imposte proprie
SP3,1.01.01.41.001,Imposte proprie
SP8,1.01.01.41.001,Imposte proprie
EPF,1.01.01.41.002,Imposte proprie
MON,1.01.01.41.002,Imposte proprie
PRO,1.01.01.41.002,Imposte proprie
REG,1.01.01.41.002,Imposte proprie
SP1,1.01.01.41.002,Imposte proprie
SP3,1.01.01.41.002,Imposte proprie
SP8,1.01.01.41.002,Imposte proprie
EPF,1.01.01.42.001,Imposte proprie
MON,1.01.01.42.001,Imposte proprie
PRO,1.01.01.42.001,Imposte proprie
REG,1.01.01.42.001,Imposte proprie
SP1,1.01.01.42.001,Imposte proprie
SP3,1.01.01.42.001,Imposte proprie
SP8,1.01.01.42.001,Imposte proprie
EPF,1.01.01.42.002,Imposte proprie
MON,1.01.01.42.002,Imposte proprie
PRO,1.01.01.42.002,Imposte proprie
REG,1.01.01.42.002,Imposte proprie
SP1,1.01.01.42.002,Imposte proprie
SP3,1.01.01.42.002,Imposte proprie
SP8,1.01.01.42.002,Imposte proprie
EPF,1.01.01.43.001,Imposte proprie
MON,1.01.01.43.001,Imposte proprie
PRO,1.01.01.43.001,Imposte proprie
REG,1.01.01.43.001,Imposte proprie
SP1,1.01.01.43.001,Imposte proprie
SP3,1.01.01.43.001,Imposte proprie
SP8,1.01.01.43.001,Imposte proprie
EPF,1.01.01.43.002,Imposte proprie
MON,1.01.01.43.002,Imposte proprie
PRO,1.01.01.43.002,Imposte proprie
REG,1.01.01.43.002,Imposte proprie
SP1,1.01.01.43.002,Imposte proprie
SP3,1.01.01.43.002,Imposte proprie
SP8,1.01.01.43.002,Imposte proprie
EPF,1.01.01.44.001,Imposte proprie
MON,1.01.01.44.001,Imposte proprie
PRO,1.01.01.44.001,Imposte proprie
REG,1.01.01.44.001,Imposte proprie
SP1,1.01.01.44.001,Imposte proprie
SP3,1.01.01.44.001,Imposte proprie
SP8,1.01.01.44.001,Imposte proprie
EPF,1.01.01.44.002,Imposte proprie
MON,1.01.01.44.002,Imposte proprie
PRO,1.01.01.44.002,Imposte proprie
REG,1.01.01.44.002,Imposte proprie
SP1,1.01.01.44.002,Imposte proprie
SP3,1.01.01.44.002,Imposte proprie
SP8,1.01.01.44.002,Imposte proprie
EPF,1.01.01.46.001,Imposte proprie
MON,1.01.01.46.001,Imposte proprie
PRO,1.01.01.46.001,Imposte proprie
REG,1.01.01.46.001,Imposte proprie
SP1,1.01.01.46.001,Imposte proprie
SP3,1.01.01.46.001,Imposte proprie
SP8,1.01.01.46.001,Imposte proprie
EPF,1.01.01.46.002,Imposte proprie
MON,1.01.01.46.002,Imposte proprie
PRO,1.01.01.46.002,Imposte proprie
REG,1.01.01.46.002,Imposte proprie
SP1,1.01.01.46.002,Imposte proprie
SP3,1.01.01.46.002,Imposte proprie
SP8,1.01.01.46.002,Imposte proprie
EPF,1.01.01.47.001,Imposte proprie
MON,1.01.01.47.001,Imposte proprie
PRO,1.01.01.47.001,Imposte proprie
REG,1.01.01.47.001,Imposte proprie
SP1,1.01.01.47.001,Imposte proprie
SP3,1.01.01.47.001,Imposte proprie
SP8,1.01.01.47.001,Imposte proprie
EPF,1.01.01.47.002,Imposte proprie
MON,1.01.01.47.002,Imposte proprie
PRO,1.01.01.47.002,Imposte proprie
REG,1.01.01.47.002,Imposte proprie
SP1,1.01.01.47.002,Imposte proprie
SP3,1.01.01.47.002,Imposte proprie
SP8,1.01.01.47.002,Imposte proprie
EPF,1.01.01.48.001,Imposte proprie
MON,1.01.01.48.001,Imposte proprie
PRO,1.01.01.48.001,Imposte proprie
REG,1.01.01.48.001,Imposte proprie
SP1,1.01.01.48.001,Imposte proprie
SP3,1.01.01.48.001,Imposte proprie
SP8,1.01.01.48.001,Imposte proprie
EPF,1.01.01.48.002,Imposte proprie
MON,1.01.01.48.002,Imposte proprie
PRO,1.01.01.48.002,Imposte proprie
REG,1.01.01.48.002,Imposte proprie
SP1,1.01.01.48.002,Imposte proprie
SP3,1.01.01.48.002,Imposte proprie
SP8,1.01.01.48.002,Imposte proprie
EPF,1.01.01.49.001,Imposte proprie
MON,1.01.01.49.001,Imposte proprie
PRO,1.01.01.49.001,Imposte proprie
REG,1.01.01.49.001,Imposte proprie
SP1,1.01.01.49.001,Imposte proprie
SP3,1.01.01.49.001,Imposte proprie
SP8,1.01.01.49.001,Imposte proprie
EPF,1.01.01.49.002,Imposte proprie
MON,1.01.01.49.002,Imposte proprie
PRO,1.01.01.49.002,Imposte proprie
REG,1.01.01.49.002,Imposte proprie
SP1,1.01.01.49.002,Imposte proprie
SP3,1.01.01.49.002,Imposte proprie
SP8,1.01.01.49.002,Imposte proprie
EPF,1.01.01.50.001,Imposte proprie
MON,1.01.01.50.001,Imposte proprie
PRO,1.01.01.50.001,Imposte proprie
REG,1.01.01.50.001,Imposte proprie
SP1,1.01.01.50.001,Imposte proprie
SP3,1.01.01.50.001,Imposte proprie
SP8,1.01.01.50.001,Imposte proprie
EPF,1.01.01.50.002,Imposte proprie
MON,1.01.01.50.002,Imposte proprie
PRO,1.01.01.50.002,Imposte proprie
REG,1.01.01.50.002,Imposte proprie
SP1,1.01.01.50.002,Imposte proprie
SP3,1.01.01.50.002,Imposte proprie
SP8,1.01.01.50.002,Imposte proprie
EPF,1.01.01.51.001,Imposte proprie
MON,1.01.01.51.001,Imposte proprie
PRO,1.01.01.51.001,Imposte proprie
REG,1.01.01.51.001,Imposte proprie
SP1,1.01.01.51.001,Imposte proprie
SP3,1.01.01.51.001,Imposte proprie
SP8,1.01.01.51.001,Imposte proprie
EPF,1.01.01.51.002,Imposte proprie
MON,1.01.01.51.002,Imposte proprie
PRO,1.01.01.51.002,Imposte proprie
REG,1.01.01.51.002,Imposte proprie
SP1,1.01.01.51.002,Imposte proprie
SP3,1.01.01.51.002,Imposte proprie
SP8,1.01.01.51.002,Imposte proprie
EPF,1.01.01.52.001,Imposte proprie
MON,1.01.01.52.001,Imposte proprie
PRO,1.01.01.52.001,Imposte proprie
REG,1.01.01.52.001,Imposte proprie
SP1,1.01.01.52.001,Imposte proprie
SP3,1.01.01.52.001,Imposte proprie
SP8,1.01.01.52.001,Imposte proprie
EPF,1.01.01.52.002,Imposte proprie
MON,1.01.01.52.002,Imposte proprie
PRO,1.01.01.52.002,Imposte proprie
REG,1.01.01.52.002,Imposte proprie
SP1,1.01.01.52.002,Imposte proprie
SP3,1.01.01.52.002,Imposte proprie
SP8,1.01.01.52.002,Imposte proprie
EPF,1.01.01.53.001,Imposte proprie
MON,1.01.01.53.001,Imposte proprie
PRO,1.01.01.53.001,Imposte proprie
REG,1.01.01.53.001,Imposte proprie
SP1,1.01.01.53.001,Imposte proprie
SP3,1.01.01.53.001,Imposte proprie
SP8,1.01.01.53.001,Imposte proprie
EPF,1.01.01.53.002,Imposte proprie
MON,1.01.01.53.002,Imposte proprie
PRO,1.01.01.53.002,Imposte proprie
REG,1.01.01.53.002,Imposte proprie
SP1,1.01.01.53.002,Imposte proprie
SP3,1.01.01.53.002,Imposte proprie
SP8,1.01.01.53.002,Imposte proprie
EPF,1.01.01.54.001,Imposte proprie
MON,1.01.01.54.001,Imposte proprie
PRO,1.01.01.54.001,Imposte proprie
REG,1.01.01.54.001,Imposte proprie
SP1,1.01.01.54.001,Imposte proprie
SP3,1.01.01.54.001,Imposte proprie
SP8,1.01.01.54.001,Imposte proprie
EPF,1.01.01.54.002,Imposte proprie
MON,1.01.01.54.002,Imposte proprie
PRO,1.01.01.54.002,Imposte proprie
REG,1.01.01.54.002,Imposte proprie
SP1,1.01.01.54.002,Imposte proprie
SP3,1.01.01.54.002,Imposte proprie
SP8,1.01.01.54.002,Imposte proprie
EPF,1.01.01.55.001,Imposte proprie
MON,1.01.01.55.001,Imposte proprie
PRO,1.01.01.55.001,Imposte proprie
REG,1.01.01.55.001,Imposte proprie
SP1,1.01.01.55.001,Imposte proprie
SP3,1.01.01.55.001,Imposte proprie
SP8,1.01.01.55.001,Imposte proprie
EPF,1.01.01.55.002,Imposte proprie
MON,1.01.01.55.002,Imposte proprie
PRO,1.01.01.55.002,Imposte proprie
REG,1.01.01.55.002,Imposte proprie
SP1,1.01.01.55.002,Imposte proprie
SP3,1.01.01.55.002,Imposte proprie
SP8,1.01.01.55.002,Imposte proprie
EPF,1.01.01.59.001,Imposte proprie
MON,1.01.01.59.001,Imposte proprie
PRO,1.01.01.59.001,Imposte proprie
REG,1.01.01.59.001,Imposte proprie
SP1,1.01.01.59.001,Imposte proprie
SP3,1.01.01.59.001,Imposte proprie
SP8,1.01.01.59.001,Imposte proprie
EPF,1.01.01.59.002,Imposte proprie
MON,1.01.01.59.002,Imposte proprie
PRO,1.01.01.59.002,Imposte proprie
REG,1.01.01.59.002,Imposte proprie
SP1,1.01.01.59.002,Imposte proprie
SP3,1.01.01.59.002,Imposte proprie
SP8,1.01.01.59.002,Imposte proprie
EPF,1.01.01.60.001,Imposte proprie
MON,1.01.01.60.001,Imposte proprie
PRO,1.01.01.60.001,Imposte proprie
REG,1.01.01.60.001,Imposte proprie
SP1,1.01.01.60.001,Imposte proprie
SP3,1.01.01.60.001,Imposte proprie
SP8,1.01.01.60.001,Imposte proprie
EPF,1.01.01.60.002,Imposte proprie
MON,1.01.01.60.002,Imposte proprie
PRO,1.01.01.60.002,Imposte proprie
REG,1.01.01.60.002,Imposte proprie
SP1,1.01.01.60.002,Imposte proprie
SP3,1.01.01.60.002,Imposte proprie
SP8,1.01.01.60.002,Imposte proprie
EPF,1.01.01.61.001,Imposte proprie
MON,1.01.01.61.001,Imposte proprie
PRO,1.01.01.61.001,Imposte proprie
REG,1.01.01.61.001,Imposte proprie
SP1,1.01.01.61.001,Imposte proprie
SP3,1.01.01.61.001,Imposte proprie
SP8,1.01.01.61.001,Imposte proprie
EPF,1.01.01.61.002,Imposte proprie
MON,1.01.01.61.002,Imposte proprie
PRO,1.01.01.61.002,Imposte proprie
REG,1.01.01.61.002,Imposte proprie
SP1,1.01.01.61.002,Imposte proprie
SP3,1.01.01.61.002,Imposte proprie
SP8,1.01.01.61.002,Imposte proprie
EPF,1.01.01.64.001,Imposte proprie
MON,1.01.01.64.001,Imposte proprie
PRO,1.01.01.64.001,Imposte proprie
REG,1.01.01.64.001,Imposte proprie
SP1,1.01.01.64.001,Imposte proprie
SP3,1.01.01.64.001,Imposte proprie
SP8,1.01.01.64.001,Imposte proprie
EPF,1.01.01.64.002,Imposte proprie
MON,1.01.01.64.002,Imposte proprie
PRO,1.01.01.64.002,Imposte proprie
REG,1.01.01.64.002,Imposte proprie
