codice_gestione,codice_voce,macro_area,macro_categoria
EPF,0.00.00.99.995,Spese correnti,Altre spese
MON,0.00.00.99.995,Spese correnti,Altre spese
PRO,0.00.00.99.995,Spese correnti,Altre spese
REG,0.00.00.99.995,Spese correnti,Altre spese
SP1,0.00.00.99.995,Spese correnti,Altre spese
SP3,0.00.00.99.995,Spese correnti,Altre spese
SP8,0.00.00.99.995,Spese correnti,Altre spese
EPF,0.00.00.99.996,Spese correnti,Altre spese
MON,0.00.00.99.996,Spese correnti,Altre spese
PRO,0.00.00.99.996,Spese correnti,Altre spese
REG,0.00.00.99.996,Spese correnti,Altre spese
SP1,0.00.00.99.996,Spese correnti,Altre spese
SP3,0.00.00.99.996,Spese correnti,Altre spese
SP8,0.00.00.99.996,Spese correnti,Altre spese
AAI,0.00.00.99.997,Spese correnti,Altre spese
ASP,0.00.00.99.997,Spese correnti,Altre spese
EPF,0.00.00.99.997,Spese correnti,Altre spese
FLS,0.00.00.99.997,Spese correnti,Altre spese
MON,0.00.00.99.997,Spese correnti,Altre spese
PRO,0.00.00.99.997,Spese correnti,Altre spese
REG,0.00.00.99.997,Spese correnti,Altre spese
RIC,0.00.00.99.997,Spese correnti,Altre spese
SP1,0.00.00.99.997,Spese correnti,Altre spese
SP3,0.00.00.99.997,Spese correnti,Altre spese
SP4,0.00.00.99.997,Spese correnti,Altre spese
SP7,0.00.00.99.997,Spese correnti,Altre spese
SP8,0.00.00.99.997,Spese correnti,Altre spese
UNI,0.00.00.99.997,Spese correnti,Altre spese
VCE,0.00.00.99.997,Spese correnti,Altre spese
VCF,0.00.00.99.997,Spese correnti,Altre spese
AAI,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
ASP,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
EPF,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
FLS,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
MON,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
PRO,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
REG,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
RIC,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
SP1,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
SP3,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
SP4,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
SP7,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
SP8,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
UNI,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
VCE,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
VCF,0.00.00.99.998,Anticipazioni e partite di giro,Anticipazioni
AAI,0.00.00.99.999,Spese correnti,Altre spese
ASP,0.00.00.99.999,Spese correnti,Altre spese
EPF,0.00.00.99.999,Spese correnti,Altre spese
FLS,0.00.00.99.999,Spese correnti,Altre spese
MON,0.00.00.99.999,Spese correnti,Altre spese
PRO,0.00.00.99.999,Spese correnti,Altre spese
REG,0.00.00.99.999,Spese correnti,Altre spese
RIC,0.00.00.99.999,Spese correnti,Altre spese
SP1,0.00.00.99.999,Spese correnti,Altre spese
SP3,0.00.00.99.999,Spese correnti,Altre spese
SP4,0.00.00.99.999,Spese correnti,Altre spese
SP7,0.00.00.99.999,Spese correnti,Altre spese
SP8,0.00.00.99.999,Spese correnti,Altre spese
UNI,0.00.00.99.999,Spese correnti,Altre spese
VCE,0.00.00.99.999,Spese correnti,Altre spese
VCF,0.00.00.99.999,Spese correnti,Altre spese
STA,001,Spese correnti,Personale
STA,002,Spese correnti,Altre spese
STA,003,Spese correnti,Altre spese
STA,004,Spese correnti,Altre spese
STA,005,Spese correnti,Trasferimenti correnti
STA,006,Spese correnti,Altre spese
STA,007,Spese correnti,Altre spese
STA,008,Spese correnti,Altre spese
STA,009,Spese correnti,Altre spese
STA,010,Spese correnti,Altre spese
STA,011,Spese correnti,Altre spese
STA,012,Spese correnti,Altre spese
STA,013,Spese correnti,Altre spese
STA,014,Spese correnti,Altre spese
STA,015,Spese correnti,Acquisto beni e servizi
STA,016,Spese correnti,Trasferimenti correnti
STA,017,Spese correnti,Altre spese
STA,018,Spese correnti,Personale
STA,019,Spese correnti,Altre spese
STA,020,Spese correnti,Altre spese
STA,021,Spese correnti,Altre spese
STA,022,Spese correnti,Altre spese
STA,023,Spese correnti,Altre spese
STA,024,Spese correnti,Acquisto beni e servizi
STA,025,Spese correnti,Altre spese
STA,026,Spese correnti,Altre spese
STA,027,Spese correnti,Altre spese
STA,028,Spese correnti,Altre spese
STA,029,Spese correnti,Altre spese
STA,030,Spese correnti,Altre spese
STA,031,Spese correnti,Altre spese
STA,032,Spese correnti,Altre spese
